Hole_ID,Row,Col,Coord_X,Coord_Y
P-002,0,1,5.0,45.0
P-003,0,2,10.0,45.0
P-004,0,3,15.0,45.0
P-005,0,4,20.0,45.0
P-006,0,5,25.0,45.0
P-007,0,6,30.0,45.0
P-008,0,7,35.0,45.0
P-009,0,8,40.0,45.0
P-010,0,9,45.0,45.0
P-011,0,10,50.0,45.0
P-012,0,11,55.0,45.0
P-013,0,12,60.0,45.0
P-014,0,13,65.0,45.0
P-015,0,14,70.0,45.0
P-016,0,15,75.0,45.0
P-017,0,16,80.0,45.0
P-018,0,17,85.0,45.0
P-019,0,18,90.0,45.0
P-020,0,19,95.0,45.0
P-021,0,20,100.0,45.0
P-022,0,21,104.02537966542266,47.027819284987274
P-023,0,22,107.14885490319479,50.93216333220242
P-024,0,23,110.27233014096691,54.836507379417576
P-025,0,24,113.39580537873903,58.74085142663273
P-026,0,25,116.51928061651115,62.64519547384788
P-027,0,26,119.64275585428328,66.54953952106302
P-028,0,27,122.76623109205539,70.45388356827817
P-029,0,28,125.88970632982752,74.35822761549333
P-030,0,29,129.01318156759964,78.2625716627085
P-031,0,30,132.13665680537176,82.16691570992364
P-032,0,31,135.26013204314387,86.07125975713879
P-033,0,32,138.383607280916,89.97560380435394
P-036,1,1,5.0,40.0
P-037,1,2,10.0,40.0
P-038,1,3,15.0,40.0
P-039,1,4,20.0,40.0
P-040,1,5,25.0,40.0
P-041,1,6,30.0,40.0
P-042,1,7,35.0,40.0
P-043,1,8,40.0,40.0
P-044,1,9,45.0,40.0
P-045,1,10,50.0,40.0
P-046,1,11,54.99999999999999,40.0
P-047,1,12,60.0,40.0
P-048,1,13,65.0,40.0
P-049,1,14,70.0,40.0
P-050,1,15,75.0,40.0
P-051,1,16,80.0,40.0
P-052,1,17,85.0,40.0
P-053,1,18,90.0,40.0
P-054,1,19,95.0,40.0
P-055,1,20,100.0,40.0
P-056,1,21,104.92728409307321,40.151294522759386
P-057,1,22,108.05075933084534,44.05563856997453
P-058,1,23,111.17423456861746,47.95998261718969
P-059,1,24,114.29770980638958,51.86432666440484
P-060,1,25,117.4211850441617,55.76867071161999
P-061,1,26,120.54466028193382,59.67301475883515
P-062,1,27,123.66813551970594,63.5773588060503
P-063,1,28,126.79161075747805,67.48170285326546
P-064,1,29,129.9150859952502,71.38604690048061
P-065,1,30,133.0385612330223,75.29039094769576
P-066,1,31,136.16203647079442,79.1947349949109
P-067,1,32,139.28551170856656,83.09907904212606
P-071,2,1,5.0,35.0
P-072,2,2,10.0,35.0
P-073,2,3,15.000000000000002,35.0
P-074,2,4,20.0,35.0
P-075,2,5,25.0,35.0
P-076,2,6,30.000000000000004,35.0
P-077,2,7,35.0,35.0
P-078,2,8,40.0,35.0
P-079,2,9,45.0,35.0
P-080,2,10,50.0,35.0
P-081,2,11,54.99999999999999,35.0
P-082,2,12,60.00000000000001,35.0
P-083,2,13,65.0,35.0
P-084,2,14,70.0,35.0
P-085,2,15,75.0,35.0
P-086,2,16,80.0,35.0
P-087,2,17,85.0,35.0
P-088,2,18,90.0,35.0
P-089,2,19,95.0,35.0
P-090,2,20,100.0,35.0
P-091,2,21,105.0,35.0
P-092,2,22,108.95266375849587,37.17911380774667
P-093,2,23,112.076138996268,41.08345785496182
P-094,2,24,115.19961423404013,44.987801902176976
P-095,2,25,118.32308947181224,48.89214594939212
P-096,2,26,121.44656470958437,52.79648999660728
P-097,2,27,124.57003994735649,56.70083404382243
P-098,2,28,127.6935151851286,60.60517809103758
P-099,2,29,130.81699042290072,64.50952213825273
P-100,2,30,133.94046566067286,68.4138661854679
P-101,2,31,137.06394089844497,72.31821023268304
P-107,3,1,5.0,30.0
P-108,3,2,10.0,30.0
P-109,3,3,15.000000000000002,30.0
P-110,3,4,20.0,30.0
P-111,3,5,25.0,30.0
P-112,3,6,30.000000000000004,30.0
P-113,3,7,35.0,30.0
P-114,3,8,40.0,30.0
P-115,3,9,45.0,30.0
P-116,3,10,50.0,30.0
P-117,3,11,55.0,30.0
P-118,3,12,60.00000000000001,30.0
P-119,3,13,65.0,30.0
P-120,3,14,70.0,30.0
P-121,3,15,75.0,30.0
P-122,3,16,80.0,30.0
P-123,3,17,85.0,30.0
P-124,3,18,90.0,30.0
P-125,3,19,95.0,30.0
P-126,3,20,100.0,30.0
P-127,3,21,105.0,30.0
P-128,3,22,109.85456818614642,30.30258904551879
P-129,3,23,112.97804342391855,34.20693309273394
P-130,3,24,116.10151866169068,38.111277139949095
P-131,3,25,119.22499389946279,42.01562118716424
P-132,3,26,122.34846913723491,45.9199652343794
P-133,3,27,125.47194437500704,49.82430928159455
P-134,3,28,128.59541961277915,53.7286533288097
P-135,3,29,131.7188948505513,57.632997376024846
P-136,3,30,134.8423700883234,61.53734142324
P-137,3,31,137.96584532609552,65.44168547045516
P-144,4,1,5.0,25.0
P-145,4,2,10.0,25.0
P-146,4,3,14.999999999999998,25.0
P-147,4,4,20.0,25.0
P-148,4,5,25.0,25.0
P-149,4,6,29.999999999999996,25.0
P-150,4,7,35.0,25.0
P-151,4,8,40.0,25.0
P-152,4,9,45.0,25.0
P-153,4,10,50.0,25.0
P-154,4,11,55.0,25.0
P-155,4,12,59.99999999999999,25.0
P-156,4,13,65.0,25.0
P-157,4,14,70.0,25.0
P-158,4,15,75.0,25.0
P-159,4,16,80.0,25.0
P-160,4,17,85.0,25.0
P-161,4,18,90.0,25.0
P-162,4,19,95.0,25.0
P-163,4,20,100.0,25.0
P-164,4,21,105.0,25.0
P-165,4,22,110.0,25.0
P-166,4,23,113.8799478515691,27.33040833050606
P-167,4,24,117.00342308934121,31.234752377721215
P-168,4,25,120.12689832711334,35.13909642493637
P-169,4,26,123.25037356488545,39.04344047215152
P-170,4,27,126.37384880265758,42.947784519366664
P-171,4,28,129.4973240404297,46.85212856658182
P-172,4,29,132.62079927820182,50.75647261379697
P-173,4,30,135.74427451597393,54.66081666101212
P-174,4,31,138.86774975374607,58.56516070822727
P-182,5,1,5.0,20.0
P-183,5,2,10.0,20.0
P-184,5,3,15.0,20.0
P-185,5,4,20.0,20.0
P-186,5,5,25.0,20.0
P-187,5,6,30.0,20.0
P-188,5,7,35.0,20.0
P-189,5,8,40.0,20.0
P-190,5,9,45.0,20.0
P-191,5,10,50.0,20.0
P-192,5,11,55.0,20.0
P-193,5,12,60.0,20.0
P-194,5,13,65.0,20.0
P-195,5,14,70.0,20.0
P-196,5,15,75.0,20.0
P-197,5,16,80.0,20.0
P-198,5,17,85.0,20.0
P-199,5,18,90.0,20.0
P-200,5,19,95.0,20.0
P-201,5,20,100.0,20.0
P-202,5,21,105.0,20.0
P-203,5,22,110.0,20.0
P-204,5,23,114.78185227921963,20.453883568278183
P-205,5,24,117.90532751699176,24.358227615493334
P-206,5,25,121.02880275476389,28.26257166270849
P-207,5,26,124.152277992536,32.166915709923636
P-208,5,27,127.27575323030813,36.07125975713879
P-209,5,28,130.39922846808025,39.97560380435394
P-210,5,29,133.52270370585236,43.87994785156909
P-211,5,30,136.64617894362448,47.78429189878425
P-212,5,31,139.76965418139662,51.688635945999394
P-221,6,1,5.0,15.0
P-222,6,2,10.0,15.0
P-223,6,3,14.999999999999998,15.0
P-224,6,4,20.0,15.0
P-225,6,5,25.0,15.0
P-226,6,6,29.999999999999996,15.0
P-227,6,7,35.0,15.0
P-228,6,8,40.0,15.0
P-229,6,9,45.0,15.0
P-230,6,10,50.0,15.0
P-231,6,11,55.0,15.0
P-232,6,12,59.99999999999999,15.0
P-233,6,13,65.0,15.0
P-234,6,14,70.0,15.0
P-235,6,15,75.0,15.0
P-236,6,16,80.0,15.0
P-237,6,17,85.0,15.0
P-238,6,18,90.0,15.0
P-239,6,19,95.0,15.0
P-240,6,20,100.0,15.0
P-241,6,21,105.0,15.0
P-242,6,22,110.0,15.0
P-261,7,1,5.0,10.0
P-262,7,2,10.0,10.0
P-263,7,3,15.0,10.0
P-264,7,4,20.0,10.0
P-265,7,5,25.0,10.0
P-266,7,6,30.0,10.0
P-267,7,7,35.0,10.0
P-268,7,8,40.0,10.0
P-269,7,9,45.0,10.0
P-270,7,10,50.0,10.0
P-271,7,11,55.0,10.0
P-272,7,12,60.0,10.0
P-273,7,13,65.0,10.0
P-274,7,14,70.0,10.0
P-275,7,15,75.0,10.0
P-276,7,16,80.0,10.0
P-277,7,17,85.0,10.0
P-278,7,18,90.0,10.0
P-279,7,19,95.0,10.0
P-280,7,20,100.0,10.0
P-281,7,21,105.0,10.0
P-302,8,1,5.0,5.0
P-303,8,2,10.0,5.0
P-304,8,3,15.0,5.0
P-305,8,4,20.0,5.0
P-306,8,5,25.0,5.0
P-307,8,6,30.0,5.0
P-308,8,7,35.0,5.0
P-309,8,8,40.0,5.0
P-310,8,9,45.0,5.0
P-311,8,10,50.0,5.0
P-312,8,11,55.0,5.0
P-313,8,12,60.0,5.0
P-314,8,13,65.0,5.0
P-315,8,14,70.0,5.0
P-316,8,15,75.0,5.0
P-317,8,16,80.0,5.0
P-318,8,17,85.0,5.0
P-319,8,18,90.0,5.0
P-320,8,19,95.0,5.0
P-321,8,20,100.0,5.0
